player_short,Team
,
keenc,GX3
Sushie,CR
dodonut,CLG
yay,C9
WARDELL,TSM
Cryocells,100T
TenZ,SEN
florescent,V1
NiSMO,M80
Verno,OXG
moobs,CR
Smoke,YFP
dicey,FaZe
Zellsis,C9
koalanoob,M80
meL,V1
leaf,C9
Wildfire,Foxy
eeiu,M80
ShoT_UP,NYFU
Demon1,EG
zekken,SEN
StarBound,
skuba,OXG
BABYBAY,FaZe
PLAYER,
xeta,T1
DraYstaR,YFP
c4Lypso,RETA
PowerPixele,EG.GC
Xeppaa,C9
trent,TGRD
Genghsta,DSG
brawk,MxM
sinatraa,SEN
SicK,SEN
johnqt,M80
XXiF,DSG
bdog,SR
sarahcat,V1
Melvin,UCSD
v1c,SR
dam,
Neon,TSR
penny,G2
corey,TSM
flare,
Ange,MAD
Bob,C9W
Brookelynn,TMV
Reduxx,OXG
clear,DSG
runi,SQ
moose,SR
kiara,
zander,M80
BcJ,EG
wrld,Fall
Derrek,100T
Sayaplayer,T1
Will,MAD
ANDROID,OU
GianSanity,QoR
bella,AGP
Logan,LV
tex,TGRD
Azulite,
mimiFPS,TMV
Hiko,100T
mehzy,DNAD
wPanda,ME
L4CE,GX3
seven,TSM
avery,DART
OXY,G2
NaturE,TSM
Hannah,GEN.B
mada,SR
cath,Vela
ShahZaM,G2
Tastyy,RIOS
aproto,MxM
cryptX,FIU
xprt,NA
ZexRow,MAD
Kanpeki,TSM
Jazzyk1ns,GX3
bsmooth,
toozy,LV
pwny,OXG
jcrueL,0
Asuna,100T
Zoe,MSF
Paincakes,CB
sharky,COL
brax,T1
Ali,Crou
bang,100T
crashies,NRG
Shawn12590,Sove
mitch,OXG
Critical,MAD.SC
happy,RIOS
BlackHeart,TSR
thief,MxM
poiz,C9A
Dcop,FS
cp2,RNG
Andrew,
wippie,G2
Rickdad,
KHS,TAMU
s0m,Team
JonahP,TGRD
Marved,SEN
thwifo,NRG
valyn,TGRD
zeldris,OR
frutta,TK
effys,V1
rivszn,CR
Stewie2k,TN
chloric,LV
YaBoiDre,NYFU
curry,C9
jmoh,VRT
KING VINNY,TFT
ban,T1
Spaz,Blin
Huji,
whitr,
Ethan,EG
ScrewFace,EG
venture,MR
pl1xx,WBG
wavy,Hype
dizzyLife,SQ
Katarina,VX
panday,AGP
nitr0,100T
Pa1nt,AOE
ozz,CR
dynamic,T1
SwayZ,LT
Jonaaa6,OR
Rahr,
C0M,EG
hemmer,
Temperature,YFP
randyySAVAGE,OXG
Victor,NRG
jawgemo,EG
Meeeeester Juan,YFP
Drone,MAD
svL,The
creeperonthabeat,
Dark3st,NW
Warmest Aloha,GODS
Bones,NSIC
dapr,SEN
tech,MAD.SC
zero cap,sqn
Rossy,FaZe
shifty,FREE
jeffie,TR
Jerk,GEN
gMd,TSM
daps,NRG
Hyperz,SLR
Cade3k,TS
SUPERKAT,RIOS
PureR,SQ
azrex,
Lear,OR
Hydro,DMG
ZK,MR
Noia,V1
bunnybee,riri
nillyaz,OR
stare,Wind
ZachaREEE,CB
Venerated,LG
Lin,YFP
stellar,100T
RaijuACE,
summertime,noot
Soop,
theia,EG.GC
Harmful,TTR
Australis,
renz,LT
itnothan,CLG
katsumi,C9W
tokyo,FIU
icee,
supamen,FaZe
TiGG,TTR
SmokeyTheBear,Team
furbsa,NW
RetrQ,The
AnnieDro,C9W
bjor,ZMM.B
Precision,NA
atlas,
showliana,EG.GC
edith,MSF
Cain,SFU.F
Kehmicals,99S
alexis,V1
MAKKA,PK
kyle,
WhoFramedMe,
Nick,TM
JSUNG,NYFU
WeDid,TTR
ALEKSANDAR,YFP
geeza,NA
Vyx,
neptune,NSIC
Blahst,VRT
vanity,C9
Exalt,DSG
flowerful,SR.GC
SaucetiN,TMA
tylerboy,TR
fiziq,Sove
Pr0phie,TR
Smoodies,
xelA,ME
Ethan,
jovahnii,MFC
vice,MFC
kaboose,NV
skies,BS
Korsonix,RR
Maegumi,
BearZ,Team
dephh,SEN
jakee,NSIC
PureVNS,MSF
LeviathanAG,NA
sonder,SR.GC
Poach,FaZe
Chase,
Rawkus,CB
9er,CR
Apoth,EG
iinoob,
Bad,Reve
mummAy,TTR
gucc107,YFP
ZerG,TI
fletcher,TSR
eVoL,TI
Shanks,NRG
kirei,MFC
yung calculator,ASP
mina,SQ
Enjoy,SQ
Yoshii,MFC
