Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
keenc  GX3,(+6),1030,1.32,278.9,1.53,78%,174.9,1.0,0.2,0.19,0.09,19%,17%,19/114,33,1029,674,204,192,93
Sushie  CR,,202,1.22,242.5,1.26,75%,156.4,0.81,0.39,0.12,0.07,23%,15%,4/27,26,163,129,78,25,15
dodonut  CLG,(+8),2579,1.19,252.6,1.27,73%,164.6,0.88,0.23,0.16,0.13,21%,21%,56/265,33,2266,1787,588,425,324
yay  C9,(+4),5124,1.18,243.6,1.29,71%,152.7,0.87,0.16,0.18,0.11,26%,14%,80/576,40,4448,3440,830,946,589
WARDELL  TSM,(+3),4670,1.18,241.8,1.37,74%,149.0,0.88,0.15,0.17,0.09,21%,15%,76/496,41,4091,2987,684,790,410
Cryocells  100T,(+4),4424,1.16,238.0,1.26,73%,148.4,0.86,0.18,0.15,0.11,24%,16%,77/476,35,3812,3020,776,678,490
TenZ  SEN,(+6),5286,1.15,259.6,1.26,72%,159.9,0.9,0.23,0.19,0.14,19%,20%,69/352,40,4767,3770,1194,996,682
NiSMO  M80,(+5),4803,1.15,241.6,1.17,74%,157.0,0.83,0.32,0.13,0.09,25%,17%,69/415,31,3969,3389,1543,638,455
florescent  V1,(+4),1636,1.15,275.2,1.25,71%,177.1,0.96,0.19,0.18,0.14,32%,16%,24/153,34,1572,1257,311,296,235
Verno  OXG,(+8),4661,1.14,207.3,1.21,74%,137.2,0.76,0.29,0.07,0.04,24%,17%,137/829,34,3523,2912,1329,317,203
meL  V1,(+6),3401,1.13,230.8,1.2,73%,146.8,0.82,0.22,0.14,0.1,26%,16%,55/340,35,2775,2318,747,479,342
koalanoob  M80,(+6),5022,1.13,241.6,1.24,72%,148.9,0.86,0.17,0.19,0.14,22%,13%,59/461,39,4336,3508,833,941,691
Zellsis  C9,(+9),4359,1.13,230.0,1.13,74%,147.1,0.79,0.37,0.12,0.12,19%,17%,62/357,33,3434,3027,1597,508,538
